20221201	16:55:43	2bd9bf3e-f144-4089-bafc-8860a68d5430	GET	undefined	/subdir/css/style.css
20221201	17:32:12	4fe8d933-d19c-4ae1-9923-f53b4b8dca8f	GET	undefined	/
20221201	17:32:12	cd6c6c1d-911a-49b7-8c6f-ec659b2f400f	GET	undefined	/css/style.css
20221201	17:32:28	532c9d5c-24d4-452c-b5c0-e344951e92a4	GET	undefined	/
20221201	17:32:28	e9cf8009-8d65-4a34-b113-6f424fd48b72	GET	undefined	/css/style.css
20221201	17:32:34	dd21ccff-6677-4909-b515-7c41d6b84627	GET	undefined	/favicon.ico
20221201	17:35:42	93a6458c-519c-42f7-85d2-e27de8cfed46	GET	undefined	/
20221201	17:35:42	3b2a51db-96c1-4cbe-8482-a3634bd00a39	GET	undefined	/css/style.css
20221201	17:35:45	b1b53368-8876-4c61-927e-76d14e2a90f7	GET	undefined	/favicon.ico
20221201	17:40:11	92d01820-d78c-46bb-8b10-cff4325c0bde	GET	undefined	/
20221201	17:40:11	dfb055b9-9551-4dba-a847-6a2c453d848f	GET	undefined	/css/style.css
20221201	17:40:14	cda3362f-1957-4ec5-8b66-0b342a3d6d5e	GET	undefined	/favicon.ico
20221201	17:40:51	7a065096-ede1-4b4e-9281-7ac754251e14	GET	undefined	/
20221201	17:40:51	d230ec7f-c1ba-473f-b589-eb2cff3f4334	GET	undefined	/css/style.css
20221201	17:40:54	7b6f4076-deb3-4c2c-8cb5-d7804c6f51b8	GET	undefined	/favicon.ico
20221201	17:41:30	c55bd242-98b1-4558-98a8-00149c134bb3	GET	undefined	/
20221201	17:41:30	e97fffcc-db66-47f2-bca7-b2abe7b3567f	GET	undefined	/css/style.css
20221201	17:53:26	cb18f2d9-8747-4fc6-a5fd-c235e1231bc7	GET	undefined	/
20221201	17:53:26	04d62977-ff85-456c-b053-ded98a95a898	GET	undefined	/css/style.css
20221201	17:53:35	846833d2-4a51-42c9-8a9d-da9dd96fc81a	GET	undefined	/new-page
20221201	17:53:35	4575cce2-f7ac-435a-a035-7d50392585ae	GET	undefined	/css/style.css
20221201	17:53:35	8e15c054-923a-455e-8186-71b7f549f748	GET	undefined	/img/img1.jpg
20221201	17:55:35	7af2edec-962e-47e4-862d-918141834a2a	GET	undefined	/
20221201	17:55:35	07af25d0-b000-41b9-a6cf-5d933fe7a718	GET	undefined	/css/style.css
20221201	17:55:38	864363a2-58ea-4c27-8bbe-bed77ce60412	GET	undefined	/favicon.ico
20221201	18:17:58	dab8bfc1-0e8d-4d82-9d18-2171fd1a0e4e	GET	undefined	/employees
20221201	18:18:49	36550c90-88dd-4b6d-a7ac-fc3fb4b540ce	GET	undefined	/employees
20221201	18:19:19	1a27f96a-0c42-412c-b517-e86d59ee0921	POST	undefined	/employees
20221201	18:20:25	359e97d8-a436-4dc9-9f17-7c2fea612b2c	POST	undefined	/employees
20221201	18:20:52	abdc2f2b-18f7-4030-bf00-a772c7e42105	POST	undefined	/employees
20221201	18:22:20	18377b2e-9d1b-4358-81c0-37ad457e77fe	PUT	undefined	/employees
20221201	18:22:43	b604dbf8-8c74-4fd5-8507-1a0c215297ec	DELETE	undefined	/employees
20221201	18:23:10	634ebed4-9c70-4407-ac19-fcb27e385a59	GET	undefined	/employees/1
20221203	20:11:23	2bc7443b-ad96-49c4-85f7-f393d8af2792	GET	undefined	/employees
20221203	20:11:51	185da91d-385b-42d3-a4f8-dddf23665935	POST	undefined	/employees
20221203	20:12:25	4e3c1b26-5a03-4ee3-ae31-c0902b3f8700	PUT	undefined	/employees
20221203	20:13:12	ae894729-9915-4280-9ad0-8d2e59e31b22	PUT	undefined	/employees
20221203	20:13:39	e9e9a734-ba1b-4512-be4a-f0fc1b98ae9b	POST	undefined	/employees
20221203	20:13:50	d37bfdb4-fc64-4f7c-ad17-4cf0b0443818	PUT	undefined	/employees
20221203	20:14:01	e2469c9a-aa6f-4cc1-8a8d-b9002ddc2a18	PUT	undefined	/employees
20221203	20:14:25	893915ed-0f34-41d0-a5e5-2bebdb5f0b61	DELETE	undefined	/employees
20221203	20:14:39	a034d39a-e796-4672-8f08-70cd7affc1dc	GET	undefined	/employees/1
20221203	20:14:43	8a82baf2-3bf0-4a8a-84f8-e463d35f5003	GET	undefined	/employees/1
20221203	20:15:43	ce35b455-dfde-4061-854b-caf90f97211e	GET	undefined	/employees/2
20221203	20:17:04	2aa5fe0c-6559-4ea4-a152-fc5349c97d26	GET	undefined	/employees/2
20221203	20:17:07	13c75d31-2c17-4fbb-b355-08422383ecee	GET	undefined	/employees/2
20221203	20:17:11	f4c43fbc-186e-456b-8d43-64badc6749e7	GET	undefined	/employees/1
20221203	20:17:15	26c0292e-af35-498d-a91b-11ed7aecb645	GET	undefined	/employees/2
20221203	20:17:20	0a6ad180-59eb-49fc-b276-2b58f127483a	POST	undefined	/employees
20221203	20:17:24	b95476e2-0b37-404b-83ad-5c76a134b18a	POST	undefined	/employees
20221203	20:17:33	bd8b6d1d-a5f7-4127-a1ff-304b1b6dede5	GET	undefined	/employees/3
20221203	20:17:36	d29b658f-9e06-4761-9341-fc9c70424b1a	GET	undefined	/employees/4
20221204	20:35:31	ba6d9261-5de3-47d4-8ded-318703a6618f	GET	undefined	/
20221204	20:35:31	aa41a0f9-9b4c-4d1a-b42c-d7190c2e7b75	GET	undefined	/css/style.css
